Happiness_Rank,Economy(GDP),Happiness_Score,Health(Life Expectancy),Country,Year,Region
1,1.39651,7.587,0.94143,Switzerland,2015,Europe
2,1.30232,7.561,0.94784,Iceland,2015,Europe
3,1.32548,7.527,0.87464,Denmark,2015,Europe
4,1.459,7.522,0.88521,Norway,2015,Europe
5,1.32629,7.427,0.90563,Canada,2015,North America
6,1.29025,7.406,0.88911,Finland,2015,Europe
7,1.32944,7.378,0.89284,Netherlands,2015,Europe
8,1.33171,7.364,0.91087,Sweden,2015,Europe
9,1.25018,7.286,0.90837,New Zealand,2015,Australia
10,1.33358,7.284,0.93156,Australia,2015,Australia
11,1.22857,7.278,0.91387,Israel,2015,Asia
12,0.95578,7.226,0.86027,Costa Rica,2015,North America
13,1.33723,7.2,0.89042,Austria,2015,Europe
14,1.02054,7.187,0.81444,Mexico,2015,North America
15,1.39451,7.119,0.86179,United States,2015,North America
16,0.98124,6.983,0.69702,Brazil,2015,South America
17,1.56391,6.946,0.91894,Luxembourg,2015,Europe
18,1.33596,6.94,0.89533,Ireland,2015,Europe
19,1.30782,6.937,0.89667,Belgium,2015,Europe
20,1.42727,6.901,0.80925,United Arab Emirates,2015,Asia
21,1.26637,6.867,0.90943,United Kingdom,2015,Europe
22,1.36011,6.853,0.76276,Oman,2015,Asia
23,1.04424,6.81,0.72052,Venezuela,2015,South America
24,1.52186,6.798,1.02525,Singapore,2015,Asia
25,1.06353,6.786,0.79661,Panama,2015,North America
26,1.32792,6.75,0.89186,Germany,2015,Europe
27,1.10715,6.67,0.85857,Chile,2015,South America
28,1.69042,6.611,0.79733,Qatar,2015,Asia
29,1.27778,6.575,0.94579,France,2015,Europe
30,1.05351,6.574,0.78723,Argentina,2015,South America
31,1.17898,6.505,0.84483,Czech Republic,2015,Europe
32,1.06166,6.485,0.8116,Uruguay,2015,South America
33,0.91861,6.477,0.69077,Colombia,2015,South America
34,0.9669,6.455,0.7385,Thailand,2015,Asia
35,1.39541,6.411,0.72025,Saudi Arabia,2015,Asia
36,1.23011,6.329,0.95562,Spain,2015,Europe
37,1.2074,6.302,0.88721,Malta,2015,Europe
38,1.29098,6.298,0.8753,Taiwan,2015,Asia
39,1.55422,6.295,0.72492,Kuwait,2015,Asia
40,0.99534,6.269,0.6082,Suriname,2015,South America
41,1.21183,6.168,0.61483,Trinidad and Tobago,2015,North America
42,0.76454,6.13,0.67737,El Salvador,2015,North America
43,0.74553,6.123,0.64425,Guatemala,2015,North America
44,0.63244,6.003,0.59772,Uzbekistan,2015,Asia
45,1.16891,5.995,0.78902,Slovakia,2015,Europe
46,1.27074,5.987,0.99111,Japan,2015,Asia
47,1.24461,5.984,0.96538,South Korea,2015,Asia
48,0.86402,5.975,0.79075,Ecuador,2015,South America
49,1.32376,5.96,0.74716,Bahrain,2015,Asia
50,1.25114,5.948,0.95446,Italy,2015,Europe
51,0.68133,5.89,0.5392,Bolivia,2015,South America
52,0.59448,5.889,0.61826,Moldova,2015,Europe
53,0.75985,5.878,0.66098,Paraguay,2015,South America
54,1.12254,5.855,0.64368,Kazakhstan,2015,Asia
55,1.18498,5.848,0.87337,Slovenia,2015,Europe
56,1.14723,5.833,0.73128,Lithuania,2015,Europe
57,0.59325,5.828,0.74314,Nicaragua,2015,North America
58,0.90019,5.824,0.73017,Peru,2015,South America
59,1.03192,5.813,0.73608,Belarus,2015,Europe
60,1.12555,5.791,0.77903,Poland,2015,Europe
61,1.12486,5.77,0.72394,Malaysia,2015,Asia
62,1.08254,5.759,0.78805,Croatia,2015,Europe
63,1.13145,5.754,0.7038,Libya,2015,Africa
64,1.13764,5.716,0.66926,Russia,2015,Europe
65,0.81038,5.709,0.68741,Jamaica,2015,North America
66,1.20806,5.695,0.92356,North Cyprus,2015,Europe
67,1.20813,5.689,0.92356,Cyprus,2015,Asia
68,0.93929,5.605,0.61766,Algeria,2015,Africa
69,0.80148,5.589,0.63132,Kosovo,2015,Europe
70,0.95847,5.548,0.53886,Turkmenistan,2015,Asia
71,1.00761,5.477,0.7095,Mauritius,2015,Africa
72,1.38604,5.474,1.01328,Hong Kong,2015,Asia
73,1.15174,5.429,0.77361,Estonia,2015,Europe
74,0.82827,5.399,0.63793,Indonesia,2015,Asia
75,0.63216,5.36,0.74676,Vietnam,2015,Asia
76,1.06098,5.332,0.73172,Turkey,2015,Asia
77,0.47428,5.286,0.65088,Kyrgyzstan,2015,Asia
78,0.65435,5.268,0.16007,Nigeria,2015,Africa
79,0.77042,5.253,0.57407,Bhutan,2015,Asia
80,1.02389,5.212,0.64045,Azerbaijan,2015,Asia
81,0.59543,5.194,0.51466,Pakistan,2015,Asia
82,0.90198,5.192,0.69639,Jordan,2015,Asia
82,0.97438,5.192,0.72521,Montenegro,2015,Europe
84,0.89012,5.14,0.81658,China,2015,Asia
85,0.47038,5.129,0.29924,Zambia,2015,Africa
86,1.04345,5.124,0.7689,Romania,2015,Europe
87,0.92053,5.123,0.74836,Serbia,2015,Europe
88,1.15991,5.102,0.87519,Portugal,2015,Europe
89,1.11312,5.098,0.72437,Latvia,2015,Europe
90,0.70532,5.073,0.58114,Philippines,2015,Asia
91,0.18847,5.057,0.43873,Somaliland region,2015,Africa
92,0.73479,5.013,0.60954,Morocco,2015,Africa
93,0.91851,5.007,0.73545,Macedonia,2015,Europe
94,0.08308,4.971,0.09131,Mozambique,2015,Africa
95,0.87867,4.959,0.81325,Albania,2015,Europe
96,0.83223,4.949,0.79081,Bosnia and Herzegovina,2015,Europe
97,0.37545,4.898,0.07612,Lesotho,2015,Africa
98,0.89537,4.885,0.66825,Dominican Republic,2015,North America
99,0.59066,4.876,0.54909,Laos,2015,Asia
100,0.82819,4.874,0.60268,Mongolia,2015,Asia
101,0.71206,4.867,0.07566,Swaziland,2015,Africa
102,1.15406,4.857,0.88213,Greece,2015,Europe
103,1.02564,4.839,0.83947,Lebanon,2015,Asia
104,1.12094,4.8,0.75905,Hungary,2015,Europe
105,0.59532,4.788,0.6951,Honduras,2015,North America
106,0.39047,4.786,0.57379,Tajikistan,2015,Asia
107,0.88113,4.739,0.73793,Tunisia,2015,Africa
108,0.59867,4.715,0.66015,Palestinian Territories,2015,Asia
109,0.39753,4.694,0.60164,Bangladesh,2015,Asia
110,1.0088,4.686,0.69805,Iran,2015,Asia
111,0.79907,4.681,0.6739,Ukraine,2015,Europe
112,0.98549,4.677,0.60237,Iraq,2015,Asia
113,0.92049,4.642,0.27688,South Africa,2015,Africa
114,0.54558,4.633,0.40132,Ghana,2015,Africa
115,0.271,4.61,0.33475,Zimbabwe,2015,Africa
116,0.0712,4.571,0.34201,Liberia,2015,Africa
117,0.64499,4.565,0.51529,India,2015,Asia
118,0.52107,4.55,0.36878,Sudan,2015,Africa
119,0.26673,4.518,0.38847,Haiti,2015,North America
120,0.0,4.517,0.09806,Congo (Kinshasa),2015,Africa
121,0.35997,4.514,0.56874,Nepal,2015,Asia
122,0.19073,4.512,0.44055,Ethiopia,2015,Africa
123,0.33024,4.507,0.0,Sierra Leone,2015,Africa
124,0.45407,4.436,0.35874,Mauritania,2015,Africa
125,0.36471,4.419,0.41435,Kenya,2015,Africa
126,0.44025,4.369,0.36291,Djibouti,2015,Africa
127,0.76821,4.35,0.7299,Armenia,2015,Asia
128,0.99355,4.332,0.04776,Botswana,2015,Africa
129,0.27108,4.307,0.48246,Myanmar,2015,Asia
130,0.7419,4.297,0.72926,Georgia,2015,Asia
131,0.01604,4.292,0.22562,Malawi,2015,Africa
132,0.83524,4.271,0.70806,Sri Lanka,2015,Asia
133,0.4225,4.252,0.23402,Cameroon,2015,Africa
134,1.01216,4.218,0.76649,Bulgaria,2015,Europe
135,0.8818,4.194,0.61712,Egypt,2015,Africa
136,0.54649,4.077,0.40064,Yemen,2015,Asia
137,0.75778,4.033,0.16683,Angola,2015,Africa
138,0.26074,3.995,0.20583,Mali,2015,Africa
139,0.67866,3.989,0.31051,Congo (Brazzaville),2015,Africa
140,0.23906,3.956,0.36315,Comoros,2015,Africa
141,0.21102,3.931,0.33861,Uganda,2015,Africa
